Key,en,es,ar,hi,fr
appLServiceExperience,Write here about service experience,Escriba aquí sobre la experiencia de servicio.,اكتب هنا عن تجربة الخدمة,सेवा अनुभव के बारे में यहां लिखें,Écrivez ici sur l'expérience de service
appLDidNotGetCode,Did not get any code,No obtuve ningún código,لم تحصل على أي رمز,कोई कोड नहीं मिला,Je n'ai reçu aucun code
appLSetupLocation,Setup Location,Ubicación de instalación,موقع الإعداد,सेटअप स्थान,Emplacement d'installation
appLGetPayment,Get Payment,Obtener pago,احصل على الدفع,भुगतान प्राप्त करें,Obtenir le paiement
appLSetLocation,Set Location,Establecer ubicación,تعيين الموقع,स्थान निर्धारित करें,Définir l'emplacement
appLWelcome,Welcome,Bienvenido,مرحباً,स्वागत,Accueillir
appLIdType,ID Type,Tipo de identificación,نوع الهوية,आईडी प्रकार,Type d'identification
appLPrivacyTextOne,I have read agreed with the,He leído de acuerdo con el,لقد قرأت الاتفاق مع,मैंने इससे सहमत होकर पढ़ा है,J'ai lu d'accord avec le
appLBack,Back,Atrás,خلف,पीछे,Dos
appLPleaseSelectABabyOrPet,Please select a baby or pet,Por favor seleccione un bebé o una mascota,الرجاء اختيار طفل أو حيوان أليف,कृपया एक शिशु या पालतू जानवर चुनें,Veuillez sélectionner un bébé ou un animal de compagnie
appLSuccessfullyCanceled,Successfully Canceled,Cancelado exitosamente,تم الإلغاء بنجاح,सफलतापूर्वक रद्द किया गया,Annulé avec succès
appLWaitFor,Wait for approval,Esperar aprobación,انتظر الموافقة,अनुमोदन के लिए प्रतीक्षा करें,Attendre l'approbation
appLAddressCongratulationDes,"Your information has been saved successfully, Thanks for using Nanny",Tu información se ha guardado correctamente. Gracias por usar Nanny.,لقد تم حفظ معلوماتك بنجاح، شكرًا لاستخدامك Nanny,"आपकी जानकारी सफलतापूर्वक सहेज ली गई है, नानी का उपयोग करने के लिए धन्यवाद","Vos informations ont été enregistrées avec succès, merci d'utiliser Nanny"
appLResubmitText,Resubmit id card through capturing,Volver a enviar la tarjeta de identificación mediante captura,إعادة إرسال بطاقة الهوية من خلال الالتقاط,कैप्चरिंग के माध्यम से आईडी कार्ड पुनः सबमिट करें,Soumettre à nouveau la carte d'identité via la capture
appLSignInCongratulationDes,"Your password has been reset successfully, Sign in now again.",Su contraseña se ha restablecido correctamente. Inicie sesión ahora nuevamente.,لقد تم إعادة تعيين كلمة المرور الخاصة بك بنجاح، قم بتسجيل الدخول الآن مرة أخرى.,"आपका पासवर्ड सफलतापूर्वक रीसेट हो गया है, अब फिर से साइन इन करें।","Votre mot de passe a été réinitialisé avec succès, connectez-vous à nouveau maintenant."
appLBabySitterCongratulationDes,Your service request has been sent successfully. Thank you for using MydoorCare.,Su solicitud de servicio ha sido enviada con éxito. Gracias por utilizar Nanny.,لقد تم إرسال طلب الخدمة الخاص بك بنجاح، شكرًا لاستخدام Nanny,"आपका सेवा अनुरोध सफलतापूर्वक भेज दिया गया है, नानी का उपयोग करने के लिए धन्यवाद","Votre demande de service a été envoyée avec succès, Merci d'utiliser Nanny"
appLGetStarted,Get Started,Empezar,ابدأ,शुरू हो जाओ,Commencer
appLEnterTheOtpCodeSendTo,Enter The OTP Code Sent to,Ingrese el código OTP enviado a,أدخل رمز OTP المرسل إليه,भेजे गए ओटीपी कोड को दर्ज करें,Entrez le code OTP envoyé à
appLOtpVerification,OTP Verification,Verificación OTP,التحقق من OTP,ओटीपी सत्यापन,Vérification OTP
appLEmailVerification,Email Verification,Verificación de correo electrónico,التحقق من البريد الإلكتروني,ईमेल सत्यापन,Vérification par e-mail
appLResend,Resend,Reenviar,إعادة الإرسال,पुन: भेजें,Renvoyer
appLEnter,Enter,Ingresar,يدخل,प्रवेश करना,Entrer
appLEnterAge,Enter Age,Ingrese la edad,أدخل العمر,आयु दर्ज करें,Entrez l'âge
appLUpdatePet,Update Pet,Actualizar mascota,تحديث الحيوانات الأليفة,अद्यतन पालतू,Mettre à jour l'animal de compagnie
appLCongratulation,Congratulations,Felicidades,تهانينا,बधाई हो,Félicitations
appLCreateAccount,Create Account,Crear una cuenta,إنشاء حساب,खाता बनाएं,Créer un compte
appLOkay,Okay,Bueno,تمام,ठीक है,D'accord
appLTransfer,TRANSFER,TRANSFERIR,تحويل,स्थानांतरण,TRANSFERT
appLExchange,Exchange,Intercambio,تبادل,अदला-बदली,Échange
appLRequest,Request,Pedido,طلب,अनुरोध,Demande
appLRecentTransaction,Recent Transaction,Transacción reciente,المعاملة الأخيرة,हालिया लेनदेन,Transaction récente
appLMyInvoice,My Invoice,mi factura,فاتورتي,मेरा चालान,Ma facture
appLMyVoucher,My Voucher,Mi vale,قسيمتي,मेरा वाउचर,Mon bon
appLSignOut,Sign Out,Desconectar,تسجيل الخروج,साइन आउट,Se déconnecter
appLPreviewScreen,Preview Screen,Pantalla de vista previa,شاشة المعاينة,पूर्वावलोकन स्क्रीन,Écran d'aperçu
appLTotalPayableAmount,Total Payable Ammount,Monto total a pagar,إجمالي المبلغ المستحق,कुल देय राशि,Montant total à payer
appLMoneyExchange,Money Exchange,Cambio de dinero,صرف العملات,मुद्रा विनिमय,Échange d'argent
appLFrom,From,De,من,से,Depuis
appLTo,To,A,ل,को,À
appLRequestMoney,Request Money,Solicitar dinero,طلب المال,पैसे का अनुरोध,Demander de l'argent
appLRemarks,Remarks,Observaciones,ملاحظات,टिप्पणी,Remarques
appLOptional,Optional,Opcional,خياري,वैकल्पिक,Facultatif
appLShareRequestMoney,Share Request Money,Compartir Solicitar Dinero,مشاركة طلب المال,शेयर अनुरोध धन,Partager Demander de l'argent
appLShare,Share,Compartir,يشارك,शेयर करना,Partager
appLMoneyTransfer,Money Transfer,Transferencia de dinero,تحويل الأموال,मनी ट्रांसफर,Transfert d'argent
appLReceiver,Receiver,Receptor,المتلقي,रिसीवर,Récepteur
appLMobileNumber,Mobile Number,Número de teléfono móvil,رقم الهاتف المحمول,मोबाइल नंबर,Numéro de portable
appLAddressNotFound,Address not found!,¡Dirección no encontrada!,العنوان غير موجود!,पता नहीं पाया गया!,Adresse introuvable !
appLSuccessfullyUpdatedPassword,Password successfully updated,Contraseña actualizada exitosamente,تم تحديث كلمة المرور بنجاح,पासवर्ड सफलतापूर्वक अपडेट किया गया,Mot de passe mis à jour avec succès
appLSent,Sent,Enviado,مرسل,भेजा,Envoyé
appLUnPaid,UnPaid,No pagado,غير مدفوعة,अवैतनिक,Non rémunéré
appLInvoiceNumber,Invoice Number,Número de factura,رقم الفاتورة,चालान संख्या,Numéro de facture
appLInvoiceDate,Invoice Date,Fecha de factura,تاريخ الفاتورة,चालान की तारीख,Date de facture
appLPickGoods,Pick Goods,Escoger productos,اختر البضائع,सामान उठाओ,Choisir des marchandises
appLTrickGoods,Trick Goods,Productos de truco,السلع خدعة,चाल माल,Marchandises trompeuses
appLTotalBill,Total Bill,Factura Total,إجمالي الفاتورة,कुल बिल,Facture totale
appLCreateInvoice,Create Invoice,Crear factura,إنشاء فاتورة,चालान बनाएं,Créer une facture
appLInvoiceTo,Invoice To,facturar a,الفاتورة إلى,बीजक बनाना,Facturer à
appLBillingAddress,Billing Address,Dirección de Envio,عنوان الفواتير,बिलिंग पता,adresse de facturation
appLNotes,Notes,Notas,ملحوظات,टिप्पणियाँ,Remarques
appLItemDetails,Item Details,Detalles del artículo,تفاصيل السلعة,आइटम विवरण,Détails de l'article
appLItemName,Item Name,Nombre del artículo,اسم العنصر,आइटम नाम,Nom de l'article
appLVoucher,Voucher,Vale,قسيمة,वाउचर,Bon
appLRedeem,Redeem,Canjear,يسترد,भुनाना,Racheter
appLNotUsed,Not Used,No usado,غير مستخدم,उपयोग नहीं किया,Non utilisé
appLCreateVoucher,Create Voucher,Crear cupón,إنشاء قسيمة,वाउचर बनाएं,Créer un bon
appLConfirmRedeem,Confirm Redeem,Confirmar canjear,تأكيد الاسترداد,रिडीम की पुष्टि करें,Confirmer l'échange
appLRedeemCode,Redeem Code,Canjear código,استرداد الرمز,रीडीम कोड,Utiliser le code
appLExchangeLog,Exchange Log,Registro de intercambio,سجل التبادل,एक्सचेंज लॉग,Journal d'échange
appLRequestLog,Request Log,Registro de solicitudes,سجل الطلب,लॉग का अनुरोध करें,Journal des demandes
appLBackToHome,Back To Home,Volver a casa,العودة إلى المنزل,घर वापिस जा रहा हूँ,Retour à la maison
appLEnableFaSecurity,Enable 2FA Security,Habilite la seguridad 2FA,تمكين أمان 2FA,2एफए सुरक्षा सक्षम करें,Activer la sécurité 2FA
appLSendVerificationCode,Send Verification Code,Enviar código de verificación,إرسال رمز التحقق,सत्यापन कोड भेजें,Envoyer le code de vérification
appLOldPassword,Old Password,Contraseña anterior,كلمة المرور القديمة,पुराना पासवर्ड,Ancien mot de passe
appLIndividual,Individual,Individual,فردي,व्यक्ति,Individuel
appLBusiness,Business,Negocio,عمل,व्यापार,Entreprise
appLMiddleName,Middle Name,Segundo nombre,الاسم الأوسط,मध्य नाम,Deuxième prénom
appLCompanyName,Company Name,nombre de empresa,اسم الشركة,कंपनी का नाम,Nom de l'entreprise
appLDateOfBirth,Date of Birth,Fecha de nacimiento,تاريخ الميلاد,जन्मतिथि,Date de naissance
appLNationality,Nationality,Nacionalidad,جنسية,राष्ट्रीयता,Nationalité
appLMyReceipt,My Receipt,Mi recibo,إيصالي,मेरी रसीद,Mon reçu
appLTotalExchangedAmount,Total Exchanged Amount,Monto total intercambiado,إجمالي المبلغ المتبادل,कुल विनिमय राशि,Montant total échangé
appLConvertedAmount,Converted Amount,Monto convertido,المبلغ المحول,परिवर्तित राशि,Montant converti
appLRequestedAmount,Requested Amount,Monto solicitado,المبلغ المطلوب,अनुरोध राशि,Montant demandé
appLOnboardTitleOne,Fun and Play All Day,Diversión y juego todo el día,المرح واللعب طوال اليوم,पूरे दिन मौज-मस्ती और खेल-कूद,Amusez-vous et jouez toute la journée
appLOnboardTitleTwo,We Care Just Like You Do,Nos preocupamos igual que usted,نحن نهتم مثلك تمامًا,हम आपकी तरह ही परवाह करते हैं,Nous nous soucions comme vous
appLOnboardDescriptionOne,A nanny is always ready to take care of your child with her best efforts,Una niñera siempre está dispuesta a cuidar de tu hijo con sus mejores esfuerzos.,المربية مستعدة دائمًا لرعاية طفلك بأقصى جهودها,एक नानी अपने सर्वोत्तम प्रयासों से आपके बच्चे की देखभाल करने के लिए हमेशा तैयार रहती है,Une nounou est toujours prête à prendre soin de votre enfant avec tous ses efforts
appLOnboardDescriptionTwo,A nanny is always ready to take care of your pet with her best efforts,Una niñera siempre está dispuesta a cuidar de tu mascota con su mejor esfuerzo.,المربية مستعدة دائمًا لرعاية حيوانك الأليف بأقصى جهودها,एक आया अपने सर्वोत्तम प्रयासों से आपके पालतू जानवर की देखभाल करने के लिए हमेशा तैयार रहती है,Une nounou est toujours prête à prendre soin de votre animal avec tous ses efforts
appLEmailVerificationDes,"Enter the otp code, which we have sent to the email you entered","Introduce el código otp, que te hemos enviado al correo electrónico que has introducido",أدخل رمز OTP الذي أرسلناه إلى البريد الإلكتروني الذي أدخلته,"वह ओटीपी कोड दर्ज करें, जो हमने आपके द्वारा दर्ज किए गए ईमेल पर भेजा है",Entrez le code OTP que nous avons envoyé à l'e-mail que vous avez saisi
appLCancel,Cancel,Cancelar,يلغي,रद्द करना,Annuler
appLOtpVerificationDes,"Enter the otp code, which we have sent to your registered email","Ingrese el código otp, que le hemos enviado a su correo electrónico registrado",أدخل رمز OTP الذي أرسلناه إلى بريدك الإلكتروني المسجل,"ओटीपी कोड दर्ज करें, जो हमने आपके पंजीकृत ईमेल पर भेजा है",Entrez le code OTP que nous avons envoyé à votre adresse e-mail enregistrée
appLCongratulationDes,"Your account has been create successfully, Welcome to Nanny",Tu cuenta se ha creado correctamente. Bienvenido a Nanny.,لقد تم إنشاء حسابك بنجاح، مرحباً بك في Nanny,"आपका खाता सफलतापूर्वक बन गया है, नानी में आपका स्वागत है","Votre compte a été créé avec succès, Bienvenue chez Nanny"
appLCongratulationSignInDes,"Your password has been reset successfully, Sign in now again",Su contraseña se ha restablecido correctamente. Inicie sesión ahora nuevamente.,لقد تم إعادة تعيين كلمة المرور الخاصة بك بنجاح، قم بتسجيل الدخول الآن مرة أخرى,"आपका पासवर्ड सफलतापूर्वक रीसेट हो गया है, अब फिर से साइन इन करें","Votre mot de passe a été réinitialisé avec succès, connectez-vous à nouveau maintenant"
appLForgotPasswordDes,Enter your registered email to reset your password,Ingrese su correo electrónico registrado para restablecer su contraseña,أدخل بريدك الإلكتروني المسجل لإعادة تعيين كلمة المرور الخاصة بك,अपना पासवर्ड रीसेट करने के लिए अपना पंजीकृत ईमेल दर्ज करें,Entrez votre email enregistré pour réinitialiser votre mot de passe
appLSignUpDes,"Your account has been create successfully, Welcome to Nanny.",Tu cuenta se ha creado correctamente. Bienvenido a Nanny.,لقد تم إنشاء حسابك بنجاح، مرحباً بك في Nanny.,"आपका खाता सफलतापूर्वक बन गया है, नानी में आपका स्वागत है।","Votre compte a été créé avec succès, bienvenue chez Nanny."
appLSignUpWelcomeText,Create an account to get the cheapest and best quality services from us,Cree una cuenta para obtener de nosotros los servicios de asientos más baratos y de mejor calidad.,قم بإنشاء حساب للحصول على أرخص وأفضل خدمات الجلوس منا,हमसे सबसे सस्ती और सर्वोत्तम गुणवत्ता वाली बैठने की सेवाएँ प्राप्त करने के लिए एक खाता बनाएँ,Créez un compte pour obtenir de notre part les services de sièges les moins chers et de la meilleure qualité
appLAccount,Account,Cuenta,حساب,खाता,Compte
appLAgreementText,"I have read agreed with the Terms Of Use, Privacy Policy & Warning","He leído que estoy de acuerdo con los Términos de uso, Política de privacidad y Advertencia",لقد قرأت شروط الاستخدام وسياسة الخصوصية والتحذير المتفق عليها,"मैंने उपयोग की शर्तों, गोपनीयता नीति और चेतावनी से सहमति पढ़ी है","J'ai lu et j'accepte les conditions d'utilisation, la politique de confidentialité et l'avertissement"
appLSignInWelcomeText,Sign in to your account with registered email and password,Inicie sesión en su cuenta con el correo electrónico y la contraseña registrados,قم بتسجيل الدخول إلى حسابك باستخدام البريد الإلكتروني المسجل وكلمة المرور,पंजीकृत ईमेल और पासवर्ड से अपने खाते में साइन इन करें,Connectez-vous à votre compte avec l'e-mail et le mot de passe enregistrés
appLGuestUser,Continue as a Guest User,Continuar como usuario invitado,الاستمرار كمستخدم ضيف,अतिथि उपयोगकर्ता के रूप में जारी रखें,Continuer en tant qu'utilisateur invité
appLHaveNotAccount,Doesn't have account?,¿No tiene cuenta?,ليس لديه حساب؟,खाता नहीं है?,Vous n'avez pas de compte ?
appLINeedA,I NEED A,NECESITO UN,أحتاج إلى أ,मुझे एक चाहिए,J'AI BESOIN D'UN
appLRecaptureMsg,Resubmit id card through capturing.,Vuelva a enviar la tarjeta de identificación mediante la captura.,إعادة إرسال بطاقة الهوية من خلال الالتقاط.,कैप्चरिंग के माध्यम से आईडी कार्ड पुनः सबमिट करें।,Soumettez à nouveau la carte d'identité via la capture.
appLWaitForApproval,Waiting for approval,Esperando aprobación,في انتظار الموافقة,अनुमोदन के लिए प्रतीक्षा,En attente d'approbation
appLBookingSchedule,Booking Schedule,Calendario de reservas,جدول الحجز,बुकिंग अनुसूची,Calendrier de réservation
appLSelectDate,Select a date,Selecciona una fecha,حدد تاريخا,एक तारीख चुनें,Sélectionnez une date
appLMonthlyBooking,Monthly Booking,Reserva Mensual,الحجز الشهري,मासिक बुकिंग,Réservation mensuelle
appLSave,Save,Ahorrar,يحفظ,बचाना,Sauvegarder
appLBookingScheduleText,Monthly booking will be for 30 days from the date you select.,La reserva mensual será por 30 días a partir de la fecha que selecciones.,الحجز الشهري سيكون لمدة 30 يومًا من التاريخ الذي تحدده.,मासिक बुकिंग आपके द्वारा चुनी गई तारीख से 30 दिनों के लिए होगी।,La réservation mensuelle sera de 30 jours à compter de la date que vous sélectionnez.
appLBookingScheduleTextTwo,"For bookings, more than 20 days please",Para reservas de más de 20 días por favor,للحجز أكثر من 20 يوم من فضلك,कृपया 20 दिन से अधिक की बुकिंग के लिए,"Pour les réservations, plus de 20 jours merci"
appLChooseYourLocation,Choose Your Location,Elige tu ubicación,اختر موقعك,अपना स्थान चुनें,Choisissez votre emplacement
appLSearchHere,Search Here...,Busca aquí...,ابحث هنا...,यहां तलाश करो...,Rechercher ici...
appLCurrentLocation,Current Location,Ubicación actual,الموقع الحالي,वर्तमान स्थान,Emplacement actuel
appLSetOnMap,Set On Map,Establecer en el mapa,تعيين على الخريطة,मानचित्र पर सेट करें,Définir sur la carte
appLSavedAddress,Saved Address,Dirección guardada,العنوان المحفوظ,सहेजा गया पता,Adresse enregistrée
appLAddAddress,Add Address,Agregar dirección,إضافة عنوان,पता जोड़ें,Ajouter une adresse
appLOffice,Office,Oficina,مكتب,कार्यालय,Bureau
appLAddHome,Add Home,Agregar casa,أضف الصفحة الرئيسية,होम जोड़ें,Ajouter une maison
appLFlatNo,Flat No,Piso No,رقم الشقة,नीरस नहीं,Appartement Non
appLEnterFlatNo,Enter Flat No,Ingresar Piso No,أدخل رقم الشقة,फ्लैट नंबर दर्ज करें,Entrez le numéro d'appartement
appLHouseNo,House No,Número de casa,رقم المنزل,मकान नंबर,Numéro de maison
appLEnterHouseNo,Enter House No,Ingrese a la casa no,أدخل رقم المنزل,मकान नंबर दर्ज करें,Entrez le numéro de maison
appLEnterStreetNo,Enter Street No,Ingrese la calle No.,أدخل رقم الشارع,स्ट्रीट नंबर दर्ज करें,Entrez le numéro de rue
appLEnterAreaNo,Enter Area,Ingresar al área,أدخل المنطقة,क्षेत्र दर्ज करें,Entrer la zone
appLEnterCity,Enter City,Ingrese la ciudad,أدخل المدينة,शहर दर्ज करें,Entrez la ville
appLEnterZipCode,Enter Zip Code,Ingrese el código postal,أدخل الرمز البريدي,ज़िप कोड डालें,Entrez le code postal
appLEnterState,Enter State,Ingresar estado,أدخل الولاية,राज्य दर्ज करें,Entrez l'état
appLStreet,Street,Calle,شارع,गली,Rue
appLArea,Area,Área,منطقة,क्षेत्र,Zone
appLDigitalPayment,Digital Payment,Pago Digital,الدفع الرقمي,डिजिटल भुगतान,Paiement numérique
appLVisaCard,Visacard,Tarjeta Visa,فيزاكارد,वीसाकार्ड,Carte Visa
appLMasterCard,Mastercard,Tarjeta MasterCard,ماستر كارد,मास्टर कार्ड,MasterCard
appLAddCard,Add Card,Agregar tarjeta,أضف بطاقة,कार्ड जोड़ें,Ajouter une carte
appLCardHolderName,Cardholder Name,Nombre del titular de la tarjeta,اسم حامل البطاقة,कार्डधारक का नाम,Nom du titulaire de la carte
appLEnterCardHolderName,Enter Cardholder Name,Ingrese el nombre del titular de la tarjeta,أدخل اسم حامل البطاقة,कार्डधारक का नाम दर्ज करें,Entrez le nom du titulaire de la carte
appLCardNumber,Card Number,Número de tarjeta,رقم البطاقة,कार्ड संख्या,Numéro de carte
appLEnterCardNumber,Enter Card Number,Ingrese el número de tarjeta,أدخل رقم البطاقة,कार्ड नंबर दर्ज करें,Entrez le numéro de carte
appLCvcOrCvv,CVS/CVV,CVS/CVV,CVS/CVV,सीवीएस/सीवीवी,CVS/CVV
appLMmOrYyy,MM/YYY,MM/AAAA,مم/سسس,एमएम/वाईवाईवाई,MM/AAAA
appLMoreOffer,More Offer,Más oferta,المزيد من العرض,अधिक ऑफर,Plus d'offre
appLOct,Oct,Oct,أكتوبر,अक्टूबर,Octobre
appLNumber,19,19,19,19,19
appLMoreOfferDummy,To get more offer by using nanny with a...,Para obtener más ofertas utilizando niñera con un...,للحصول على المزيد من العرض باستخدام مربية مع...,एक के साथ नानी का उपयोग करके अधिक प्रस्ताव प्राप्त करने के लिए...,Pour obtenir plus d'offre en faisant appel à une nounou avec un...
appLReject,Reject,Rechazar,يرفض,अस्वीकार करना,Rejeter
appLHold,Hold,Sostener,يمسك,पकड़ना,Prise
appLDummyName,Protay Amin,Protay Amin,بروتاي أمين,प्रोटे अमीन,Protay Amin
appLUpdateProfile,Update Profile,Actualizar perfil,تحديث الملف الشخصي,प्रोफ़ाइल अपडेट करें,Mettre à jour le profil
appLFavoriteCap,FAVORITE,FAVORITO,مفضل,पसंदीदा,PRÉFÉRÉ
appLPriceHighLow,Price High-Low,Precio alto-bajo,السعر مرتفع ومنخفض,कीमत ऊंची-नीची,Prix ​​haut-bas
appLPriceLowHigh,Price Low-High,Precio bajo-alto,السعر منخفض مرتفع,कीमत कम-ज्यादा,Prix ​​bas-élevé
appLPricing,Pricing,Precios,التسعير,मूल्य निर्धारण,Tarifs
appLServiceQuality,Service Quality,Calidad del servicio,جودة الخدمة,सेवा गुणवत्ता,Qualité des services
appLStandard,Standard,Estándar,معيار,मानक,Standard
appLMedium,Medium,Medio,واسطة,मध्यम,Moyen
appLBasic,Basic,Básico,أساسي,बुनियादी,Basique
appLExperience,Experience,Experiencia,خبرة,अनुभव,Expérience
appLServiceReview,Service Review,Revisión del servicio,مراجعة الخدمة,सेवा समीक्षा,Examen des services
appLServiceReviewDemo,She is a very good and efficient nanny. Ginny has always looked after my baby. Properly cared for. He knows hot to perform his duty properly. I am very satisfied with her work,Es una niñera muy buena y eficiente. Ginny siempre ha cuidado a mi bebé. Bien cuidado. Él sabe cómo realizar su deber correctamente. Estoy muy satisfecho con su trabajo.,إنها مربية جيدة جدًا وفعالة. لقد اعتنت جيني دائمًا بطفلي. يتم الاعتناء به بشكل صحيح. إنه يعرف جيدًا أن يؤدي واجبه بشكل صحيح. أنا راض جدا عن عملها,वह बहुत अच्छी और कुशल नानी है। गिन्नी ने हमेशा मेरे बच्चे की देखभाल की है। ठीक से देखभाल की गई. वह अपना कर्तव्य ठीक से निभाना जानता है। मैं उसके काम से बहुत संतुष्ट हूं,C'est une nounou très bonne et efficace. Ginny a toujours pris soin de mon bébé. Correctement entretenu. Il sait comment accomplir correctement son devoir. je suis très satisfaite de son travail
appLSelectBaby,Select Child,Seleccione Bebé,حدد الطفل,बेबी का चयन करें,Sélectionnez Bébé
appLAddBaby,Add Child,Añadir bebé,أضف الطفل,बेबी जोड़ें,Ajouter bébé
appLEditSchedule,Edit Schedule,Editar horario,تحرير الجدول الزمني,शेड्यूल संपादित करें,Modifier le calendrier
appLEditAddress,Edit Address,Editar dirección,تحرير العنوان,पता संपादित करें,Modifier l'adresse
appLNannyBill,Nanny's Bill,La factura de la niñera,فاتورة المربية,नानी का बिल,Facture de nounou
appLPaymentMethod,Payment Method,Método de pago,طريقة الدفع,भुगतान विधि,Mode de paiement
appLCashOnService,Cash On Service,Servicio de pago en efectivo,خدمة الدفع النقدي,कैश ऑन सेवा,Paiement au service
appLServiceAccepted,Service Accepted,Servicio aceptado,الخدمة مقبولة,सेवा स्वीकृत,Service accepté
appLWaitForNanny,Wait For Nanny,espera a la niñera,انتظر مربية,नानी की प्रतीक्षा करें,Attends Nounou
appLMakePayment,Make Payment,Realizar pago,إجراء الدفع,भुगतान करें,Effectuer le paiement
appLViewBillingInformation,View Billing Information,Ver información de facturación,عرض معلومات الفواتير,बिलिंग जानकारी देखें,Afficher les informations de facturation
appLHideBillingInformation,Hide Billing Information,Ocultar información de facturación,إخفاء معلومات الفواتير,बिलिंग जानकारी छिपाएँ,Masquer les informations de facturation
appLServiceCart,Service Cart,Carro de servicio,عربة الخدمة,सेवा गाड़ी,Chariot de service
appLMyBabyAndPets,Individual Receiving Care,Mi bebé y mis mascotas,طفلي والحيوانات الأليفة,मेरा बच्चा और पालतू जानवर,Mon bébé et mes animaux de compagnie
appLMyPets,My Pets,mis mascotas,حيواناتي الأليفة,मेरा पालतू जानवर,Mes animaux
Add Old Adult,Add Pet,Agregar mascota,أضف حيوانًا أليفًا,पालतू जोड़ें,Ajouter un animal de compagnie
appLBabyFoods,Baby Foods,Alimentos para bebés,أغذية الأطفال,शिशु आहार,Aliments pour bébés
appLEnterBabyName,Enter Baby Name,Ingrese el nombre del bebé,أدخل اسم الطفل,बच्चे का नाम दर्ज करें,Entrez le nom du bébé
appLSelectGender,Select Gender,Seleccione Género,حدد الجنس,लिंग चुनें,Sélectionnez le sexe
appLEnterBabyFoodList,"Ex: Eggs, Salmon","Ej: huevos, salmón",على سبيل المثال: البيض، سمك السلمون,"जैसे: अंडे, सामन","Ex : Oeufs, Saumon"
appLUploadBabyPicture,Upload Baby Picture,Subir foto de bebé,تحميل صورة الطفل,बच्चे की तस्वीर अपलोड करें,Télécharger une photo de bébé
appLSelectPet,Select Patient,Seleccionar mascota,حدد حيوان أليف,पालतू जानवर का चयन करें,Sélectionnez un animal de compagnie
appLPetType,Pet Type,Tipo de mascota,نوع الحيوانات الأليفة,पालतू जानवर का प्रकार,Type d'animal
appLEnterPetBreed,Enter Pet Breed,Ingrese la raza de mascota,أدخل سلالة الحيوانات الأليفة,पालतू नस्ल दर्ज करें,Entrez la race d'animal de compagnie
appLEnterPetFoodsList,Enter Pet Foods List,Ingrese la lista de alimentos para mascotas,أدخل قائمة أغذية الحيوانات الأليفة,पालतू पशु आहार सूची दर्ज करें,Entrez dans la liste des aliments pour animaux de compagnie
appLUploadPetPicture,Upload Pet Picture,Subir foto de mascota,تحميل صورة الحيوانات الأليفة,पालतू जानवर का चित्र अपलोड करें,Télécharger une photo d'animal de compagnie
appLWelcomeText,Welcome to MydoorCare,Bienvenido a niñera,مرحبا بكم في مربية,नानी का स्वागत है,Bienvenue chez Nounou
appLServiceText,"If you want to get service you can join us by Get Services, or if you want to earn money by providing nannies services you can join us by Become a Nanny","Si desea obtener un servicio, puede unirse a nosotros mediante Get Services, o si desea ganar dinero brindando servicios de niñeras, puede unirse a nosotros mediante Become a Nanny.",إذا كنت ترغب في الحصول على الخدمة يمكنك الانضمام إلينا من خلال الحصول على الخدمات، أو إذا كنت ترغب في كسب المال من خلال تقديم خدمات المربيات يمكنك الانضمام إلينا من خلال أن تصبح مربية أطفال,"यदि आप सेवा प्राप्त करना चाहते हैं तो आप गेट सर्विसेज द्वारा हमसे जुड़ सकते हैं, या यदि आप नानी सेवाएं प्रदान करके पैसा कमाना चाहते हैं तो आप नानी बनें द्वारा हमसे जुड़ सकते हैं","Si vous souhaitez bénéficier d'un service, vous pouvez nous rejoindre en obtenant des services, ou si vous souhaitez gagner de l'argent en fournissant des services de nounous, vous pouvez nous rejoindre en devenant nounou."
appLGetServices,Get Services,Obtener servicios,احصل على الخدمات,सेवाएँ प्राप्त करें,Obtenir des services
appLBecomeNanny,Join as Babysitter or Caregiver,Conviértete en niñera,تصبح مربية,नानी बनो,Devenez nounou
appLStripe,Stripe,Raya,شريط,पट्टी,Bande
appLSelecetTime,Select Time,Seleccionar hora,حدد الوقت,समय चुनें,Sélectionnez l'heure
appLForgotPasswordTwo,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر,पासवर्ड भूल गए,Mot de passe oublié
appLLogMessageCancel,Do you want to cancel request?,¿Quieres cancelar la solicitud?,هل تريد إلغاء الطلب؟,क्या आप अनुरोध रद्द करना चाहते हैं?,Voulez-vous annuler la demande?
appLPendingMsg,Your kyc verification is pending,Tu verificación kyc está pendiente,التحقق من kyc الخاص بك معلق,आपका केवाईसी सत्यापन लंबित है,Votre vérification kyc est en attente
appLUnverifiedKyc,Your kyc is unverified,Tu kyc no está verificado,لم يتم التحقق من kyc الخاص بك,आपका केवाईसी असत्यापित है,Votre kyc n'est pas vérifié
appLRejectedKyc,Your kyc is verification is rejected,Su verificación kyc es rechazada,تم رفض التحقق من kyc الخاص بك,आपका केवाईसी सत्यापन अस्वीकार कर दिया गया है,Votre kyc est la vérification est rejetée
appLDidnTGetCode,didn't get any code?,¿No obtuviste ningún código?,لم تحصل على أي رمز؟,कोई कोड नहीं मिला?,vous n'avez pas reçu de code ?
appLDummyEmail,sayem@appdevs.net,sayem@appdevs.net,sayem@appdevs.net,saem@appdevs.net,sayem@appdevs.net
